,AirportID,Latitude,Longitude,AirportLatitude,AirportLongitude,PayingPax,Fare,Distance_mile
294,PHX,33.451859,-112.07003,33.435893,-112.008254,1,13.0,4.66023161173
295,PHX,33.451859,-112.07003,33.435893,-112.008254,1,13.0,4.66023161173
296,PHX,33.415446,-111.72325,33.435893,-112.008254,2,37.0,17.8271998006
297,PHX,33.449946,-112.071984,33.435893,-112.008254,2,26.0,4.64074112926
298,PHX,33.449946,-112.071984,33.435893,-112.008254,1,13.0,4.64074112926
299,PHX,33.621441,-111.937781,33.435893,-112.008254,2,42.0,16.8660257098
300,PHX,33.62296,-111.93392,33.435893,-112.008254,1,21.0,17.1932591659
301,PHX,33.526611,-111.92785,33.435893,-112.008254,1,17.0,10.8927021113
302,PHX,33.459384,-112.34202,33.435893,-112.008254,2,50.0,20.8459364829
303,PHX,33.511077,-112.024948,33.435893,-112.008254,1,15.0,6.15089171681
304,PHX,33.452292,-112.070359,33.435893,-112.008254,1,13.0,4.70906809151
305,PHX,33.449946,-112.071984,33.435893,-112.008254,1,13.0,4.64074112926
306,PHX,33.449593,-112.07132,33.435893,-112.008254,1,13.0,4.57813076474
307,PHX,33.449593,-112.07132,33.435893,-112.008254,1,13.0,4.57813076474
308,PHX,33.510086,-111.924936,33.435893,-112.008254,1,17.0,9.91995987987
309,PHX,33.451859,-112.07003,33.435893,-112.008254,1,13.0,4.66023161173
310,PHX,33.449593,-112.07132,33.435893,-112.008254,2,26.0,4.57813076474
311,PHX,33.350044,-111.974612,33.435893,-112.008254,1,17.0,7.86319541271
312,PHX,33.534114,-111.964402,33.435893,-112.008254,1,17.0,9.30521796779
313,PHX,33.449824,-112.071894,33.435893,-112.008254,1,13.0,4.62713656802
314,PHX,33.449946,-112.071984,33.435893,-112.008254,1,13.0,4.64074112926
315,PHX,33.644802,-111.9146,33.435893,-112.008254,1,25.0,19.8136441274
316,PHX,33.595732,-111.98569,33.435893,-112.008254,1,21.0,12.3320385325
317,PHX,33.647781,-111.91112,33.435893,-112.008254,2,38.0,20.2197042382
318,PHX,33.46593,-112.15834,33.435893,-112.008254,1,16.0,10.7179953775
319,PHX,33.5122,-111.8915,33.435893,-112.008254,1,17.0,11.9917484756
320,PHX,33.5122,-111.8915,33.435893,-112.008254,1,17.0,11.9917484756
321,PHX,33.607978,-111.92597,33.435893,-112.008254,1,21.0,16.6170856117
322,PHX,33.452292,-112.070359,33.435893,-112.008254,1,13.0,4.70906809151
323,PHX,33.449593,-112.07132,33.435893,-112.008254,2,26.0,4.57813076474
324,PHX,33.3881,-111.85361,33.435893,-112.008254,1,17.0,12.2060823304
325,PHX,33.451859,-112.07003,33.435893,-112.008254,1,13.0,4.66023161173
326,PHX,33.449593,-112.07132,33.435893,-112.008254,1,13.0,4.57813076474
327,PHX,33.452292,-112.070359,33.435893,-112.008254,4,52.0,4.70906809151
328,PHX,33.548098,-111.91671,33.435893,-112.008254,1,21.0,13.0174253904
329,PHX,33.505765,-112.03213,33.435893,-112.008254,1,15.0,6.19792313934
330,PHX,33.516701,-112.03003,33.435893,-112.008254,1,15.0,6.8317879666
331,PHX,33.449946,-112.071984,33.435893,-112.008254,1,13.0,4.64074112926
332,PHX,33.387685,-111.78817,33.435893,-112.008254,2,42.0,16.003996646
333,PHX,33.449946,-112.071984,33.435893,-112.008254,2,26.0,4.64074112926
